"name","X","score","rank","modranks","prob","Vegasodds","vegasranks"
"Bae, Sangmoon",1,288,32,42,0.0064,250,57
"Bjorn, Thomas",55,151,74,78,9e-04,300,66
"Blixt, Jonas",2,287,27,62,0.003,150,43
"Bradley, Keegan",3,286,22,34,0.0084,60,20
"Cabrera, Angel",4,286,22,52,0.0047,80,28
"Casey, Paul",5,279,6,16,0.0171,70,25
"Compton, Erik",7,293,50,68,0.0024,500,75
"Couples, Fred",56,153,80,26,0.011,150,43
"Crane, Ben",57,157,83,75,0.0018,500,75
"Day, Jason",8,287,27,3,0.1015,12,4
"Donald, Luke",58,147,55,57,0.0041,100,34
"Donaldson, Jamie",9,288,32,31,0.0088,125,38
"Dubuisson, Victor",59,149,72,46,0.0057,100,34
"Dufner, Jason",10,292,48,45,0.0059,125,38
"Els, Ernie",11,286,22,80,6e-04,150,43
"Every, Matt",60,147,55,76,0.0014,250,57
"Fowler, Rickie",12,282,12,11,0.0248,30,12
"Furyk, Jim",61,147,55,8,0.0301,70,25
"Gallacher, Stephen",62,147,55,70,0.0023,300,66
"Garcia, Sergio",13,283,17,12,0.0239,40,15
"Grace, Branden",63,148,66,21,0.0134,200,54
"Haas, Bill",14,282,12,33,0.0087,80,28
"Hahn, James",64,147,55,59,0.0035,200,54
"Harman, Brian",65,148,66,50,0.005,500,75
"Harrington, Padraig",66,149,72,72,0.0021,150,43
"Henley, Russell",15,285,21,35,0.0081,125,38
"Hoffman, Charley",16,280,9,39,0.0073,250,57
"Hoffmann, Morgan",17,287,27,65,0.0026,250,57
"Holmes, J.B.",67,147,55,17,0.0167,35,14
"Horschel, Billy",68,148,66,31,0.0088,70,25
"Ilonen, Mikko",69,147,55,72,0.0021,500,75
"Immelman, Trevor",70,153,80,71,0.0022,500,75
"Jaidee, Thongchai",18,297,54,79,7e-04,500,75
"Jimenez, Miguel Angel",71,151,74,54,0.0044,150,43
"Johnson, Dustin",19,279,6,7,0.0436,12,4
"Johnson, Zach",20,280,9,24,0.0124,60,20
"Kaymer, Martin",72,151,74,37,0.008,65,24
"Kirk, Chris",21,288,32,47,0.0056,150,43
"Koepka, Brooks",22,288,32,23,0.0125,80,28
"Kuchar, Matt",23,290,45,10,0.0255,30,12
"Lahiri, Anirban",24,292,48,64,0.0027,300,66
"Langer, Bernhard",73,147,55,81,5e-04,300,66
"Lowry, Shane",74,147,55,28,0.009,150,43
"Luiten, Joost",75,148,66,58,0.0038,250,57
"Mahan, Hunter",25,280,9,29,0.0089,100,34
"Martin, Ben",76,148,66,61,0.0031,300,66
"Matsuyama, Hideki",26,277,5,9,0.0272,60,20
"McDowell, Graeme",27,294,51,60,0.0032,150,43
"McIlroy, Rory",28,276,4,2,0.1297,8,1
"Mickelson, Phil",29,274,2,15,0.0205,20,7
"Moore, Ryan",30,282,12,25,0.0117,60,20
"Na, Kevin",31,282,12,38,0.0078,100,34
"Noh, Seung-Yul",32,289,37,77,0.0013,300,66
"Ogilvy, Geoff",33,291,47,51,0.0049,300,66
"Oosthuizen, Louis",34,284,19,29,0.0089,50,19
"Palmer, Ryan",35,288,32,19,0.0149,80,28
"Poulter, Ian",36,279,6,22,0.0128,80,28
"Reed, Patrick",37,286,22,27,0.0091,25,11
"Rose, Justin",38,274,2,6,0.0521,40,15
"Schwartzel, Charl",39,289,37,35,0.0081,80,28
"Scott, Adam",40,289,37,13,0.0235,20,7
"Senden, John",41,289,37,41,0.0069,250,57
"Simpson, Webb",42,287,27,48,0.0055,150,43
"Singh, Vijay",43,295,53,68,0.0024,125,38
"Snedeker, Brandt",77,147,55,20,0.0148,40,15
"Spieth, Jordan",44,270,1,5,0.0623,8,1
"Stadler, Kevin",78,151,74,72,0.0021,500,75
"Stenson, Henrik",45,284,19,4,0.0676,20,7
"Streb, Robert",79,156,82,48,0.0055,300,66
"Streelman, Kevin",46,282,12,42,0.0064,150,43
"Stricker, Steve",47,287,27,55,0.0043,200,54
"Todd, Brendon",80,151,74,42,0.0064,250,57
"Tringale, Cameron",48,289,37,63,0.0029,300,66
"Villegas, Camilo",81,148,66,65,0.0026,250,57
"Walker, Jimmy",49,289,37,18,0.016,18,6
"Watson, Bubba",50,289,37,1,0.1324,10,3
"Watson, Tom",82,152,79,82,3e-04,1000,82
"Westwood, Lee",51,290,45,14,0.0234,45,18
"Wiesberger, Bernd",52,286,22,56,0.0042,250,57
"Willett, Danny",53,289,37,53,0.0046,150,43
"Woodland, Gary",84,147,55,40,0.0072,125,38
"Woods, Tiger",54,283,17,67,0.0025,20,7
