"name","score","rank","firstplace","modranks","prob","Vegasodds","vegasranks"
"Bae, Sangmoon",288,32,55,48,0.0055,250,57
"Bjorn, Thomas",151,74,11,77,0.0011,300,66
"Blixt, Jonas",287,27,25,66,0.0025,150,43
"Bradley, Keegan",286,22,102,28,0.0102,60,20
"Cabrera, Angel",286,22,55,48,0.0055,80,28
"Casey, Paul",279,6,168,16,0.0168,70,25
"Clarke, Darren",294,51,1,84,1e-04,1000,82
"Compton, Erik",293,50,20,72,0.002,500,75
"Couples, Fred",153,80,121,24,0.0121,150,43
"Crane, Ben",157,83,20,72,0.002,500,75
"Day, Jason",287,27,1070,3,0.107,12,4
"Donald, Luke",147,55,46,56,0.0046,100,34
"Donaldson, Jamie",288,32,103,27,0.0103,125,38
"Dubuisson, Victor",149,72,63,43,0.0063,100,34
"Dufner, Jason",292,48,59,46,0.0059,125,38
"Els, Ernie",286,22,15,76,0.0015,150,43
"Every, Matt",147,55,11,77,0.0011,250,57
"Fowler, Rickie",282,12,262,10,0.0262,30,12
"Furyk, Jim",147,55,292,9,0.0292,70,25
"Gallacher, Stephen",147,55,22,68,0.0022,300,66
"Garcia, Sergio",283,17,203,15,0.0203,40,15
"Grace, Branden",148,66,125,22,0.0125,200,54
"Haas, Bill",282,12,100,29,0.01,80,28
"Hahn, James",147,55,38,61,0.0038,200,54
"Harman, Brian",148,66,47,53,0.0047,500,75
"Harrington, Padraig",149,72,22,68,0.0022,150,43
"Henley, Russell",285,21,82,34,0.0082,125,38
"Hoffman, Charley",280,9,65,40,0.0065,250,57
"Hoffmann, Morgan",287,27,33,63,0.0033,250,57
"Holmes, J.B.",147,55,157,19,0.0157,35,14
"Horschel, Billy",148,66,89,31,0.0089,70,25
"Ilonen, Mikko",147,55,23,67,0.0023,500,75
"Immelman, Trevor",153,80,5,81,5e-04,500,75
"Jaidee, Thongchai",297,54,7,79,7e-04,500,75
"Jimenez, Miguel Angel",151,74,41,60,0.0041,150,43
"Johnson, Dustin",279,6,412,7,0.0412,12,4
"Johnson, Zach",280,9,116,25,0.0116,60,20
"Kaymer, Martin",151,74,71,39,0.0071,65,24
"Kirk, Chris",288,32,63,43,0.0063,150,43
"Koepka, Brooks",288,32,128,21,0.0128,80,28
"Kuchar, Matt",290,45,252,12,0.0252,30,12
"Lahiri, Anirban",292,48,28,65,0.0028,300,66
"Langer, Bernhard",147,55,7,79,7e-04,300,66
"Lowry, Shane",147,55,88,32,0.0088,150,43
"Luiten, Joost",148,66,47,53,0.0047,250,57
"Mahan, Hunter",280,9,74,37,0.0074,100,34
"Martin, Ben",148,66,31,64,0.0031,300,66
"Matsuyama, Hideki",277,5,293,8,0.0293,60,20
"McDowell, Graeme",294,51,44,58,0.0044,150,43
"McIlroy, Rory",276,4,1298,2,0.1298,8,1
"Mickelson, Phil",274,2,226,13,0.0226,20,7
"Moore, Ryan",282,12,125,22,0.0125,60,20
"Na, Kevin",282,12,88,32,0.0088,100,34
"Noh, Seung-Yul",289,37,22,68,0.0022,300,66
"Ogilvy, Geoff",291,47,48,52,0.0048,300,66
"Oosthuizen, Louis",284,19,82,34,0.0082,50,19
"Palmer, Ryan",288,32,160,17,0.016,80,28
"Poulter, Ian",279,6,159,18,0.0159,80,28
"Reed, Patrick",286,22,81,36,0.0081,25,11
"Rose, Justin",274,2,511,6,0.0511,40,15
"Schwartzel, Charl",289,37,91,30,0.0091,80,28
"Scott, Adam",289,37,262,10,0.0262,20,7
"Senden, John",289,37,65,40,0.0065,250,57
"Simpson, Webb",287,27,59,46,0.0059,150,43
"Singh, Vijay",295,53,49,51,0.0049,125,38
"Snedeker, Brandt",147,55,112,26,0.0112,40,15
"Spieth, Jordan",270,1,690,4,0.069,8,1
"Stadler, Kevin",151,74,20,72,0.002,500,75
"Stenson, Henrik",284,19,663,5,0.0663,20,7
"Streb, Robert",156,82,64,42,0.0064,300,66
"Streelman, Kevin",282,12,47,53,0.0047,150,43
"Stricker, Steve",287,27,42,59,0.0042,200,54
"Todd, Brendon",151,74,62,45,0.0062,250,57
"Tringale, Cameron",289,37,37,62,0.0037,300,66
"Villegas, Camilo",148,66,22,68,0.0022,250,57
"Walker, Jimmy",289,37,157,19,0.0157,18,6
"Watson, Bubba",289,37,1301,1,0.1301,10,3
"Watson, Tom",152,79,4,82,4e-04,1000,82
"Westwood, Lee",290,45,221,14,0.0221,45,18
"Wiesberger, Bernd",286,22,46,56,0.0046,250,57
"Willett, Danny",289,37,50,50,0.005,150,43
"Woodland, Gary",147,55,73,38,0.0073,125,38
"Woods, Tiger",283,17,20,72,0.002,20,7
"Yang, Gunn",159,84,3,83,3e-04,1000,82
