"name","score","rank","firstplace","modranks","prob","vegasodds","vegasranks"
"An, Byeong Hun",151,56,43,41,0.0043,160,38
"Aphibarnrat, Kiradech",291,15,32,52,0.0032,300,64
"Berger, Daniel",289,10,60,34,0.006,200,46
"Bradley, Keegan",301,51,32,52,0.0032,200,46
"Cabrera Bello, Rafa",292,17,113,22,0.0113,90,26
"Cabrera, Angel",294,24,32,52,0.0032,150,36
"Casey, Paul",287,4,192,12,0.0192,65,19
"Clarke, Darren",160,78,1,77,1e-04,1000,77
"Day, Jason",289,10,1844,1,0.1844,6.5,1
"DeChambeau, Bryson",293,21,19,67,0.0019,150,36
"Donaldson, Jamie",293,21,49,39,0.0049,200,46
"Dubuisson, Victor",299,41,12,72,0.0012,200,46
"Dufner, Jason",153,66,58,36,0.0058,110,28
"Els, Ernie",153,66,14,69,0.0014,225,58
"English, Harris",299,41,30,57,0.003,130,32
"Fitzpatrick, Matthew",288,7,22,62,0.0022,250,59
"Fowler, Rickie",153,66,587,7,0.0587,15,6
"Garcia, Sergio",296,34,111,23,0.0111,50,15
"Gomez, Fabian",157,76,21,65,0.0021,500,71
"Grace, Branden",152,61,170,14,0.017,85,24
"Grillo, Emiliano",292,17,59,35,0.0059,200,46
"Haas, Bill",294,24,80,27,0.008,110,28
"Herman, Jim",153,66,22,62,0.0022,300,64
"Hoffman, Charley",295,29,76,29,0.0076,100,27
"Holmes, J.B.",287,4,98,24,0.0098,130,32
"Horschel, Billy",292,17,77,28,0.0077,160,38
"Immelman, Trevor",151,56,3,76,3e-04,1000,77
"Jaidee, Thongchai",307,55,30,57,0.003,300,64
"Johnson, Dustin",287,4,645,4,0.0645,15,6
"Johnson, Zach",152,61,73,30,0.0073,50,15
"Kaufman, Smylie",295,29,33,51,0.0033,250,59
"Kaymer, Martin",300,48,53,38,0.0053,160,38
"Kirk, Chris",153,66,64,33,0.0064,160,38
"Kisner, Kevin",297,37,70,31,0.007,85,24
"Kjeldsen, Soren",288,7,42,42,0.0042,500,71
"Knox, Russell",152,61,30,57,0.003,200,46
"Koepka, Brooks",293,21,123,19,0.0123,65,19
"Kuchar, Matt",294,24,178,13,0.0178,65,19
"Lahiri, Anirban",299,41,31,55,0.0031,250,59
"Langer, Bernhard",294,24,10,73,0.001,500,71
"Lee, Danny",292,17,34,47,0.0034,160,38
"Leishman, Marc",151,56,95,26,0.0095,65,19
"Lingmerth, David",152,61,34,47,0.0034,200,46
"Love III, Davis",299,41,8,74,8e-04,500,71
"Lowry, Shane",298,39,45,40,0.0045,160,38
"Mahan, Hunter",302,52,14,69,0.0014,200,46
"Matsuyama, Hideki",288,7,312,11,0.0312,45,13
"McDowell, Graeme",153,66,22,62,0.0022,200,46
"McIlroy, Rory",289,10,933,3,0.0933,8,2
"Merritt, Troy",299,41,14,69,0.0014,300,64
"Mickelson, Phil",151,56,367,10,0.0367,15,6
"Moore, Ryan",155,74,116,20,0.0116,110,28
"Na, Kevin",303,53,68,32,0.0068,130,32
"Oosthuizen, Louis",291,15,162,16,0.0162,28,11
"Piercy, Scott",295,29,37,43,0.0037,250,59
"Poulter, Ian",300,48,37,43,0.0037,130,32
"Reed, Patrick",300,48,152,17,0.0152,45,13
"Rose, Justin",289,10,436,8,0.0436,25,9
"Schwartzel, Charl",152,61,146,18,0.0146,35,12
"Scott, Adam",299,41,609,6,0.0609,12,4
"Simpson, Webb",295,29,55,37,0.0055,200,46
"Singh, Vijay",153,66,30,57,0.003,500,71
"Smith, Cameron",303,53,7,75,7e-04,300,64
"Snedeker, Brandt",289,10,170,14,0.017,50,15
"Spieth, Jordan",286,2,1393,2,0.1393,8.5,3
"Stenson, Henrik",294,24,381,9,0.0381,25,9
"Streb, Robert",156,75,21,65,0.0021,300,64
"Streelman, Kevin",296,34,31,55,0.0031,200,46
"Sullivan, Andy",157,76,35,45,0.0035,160,38
"Taylor, Vaughn",151,56,34,47,0.0034,300,64
"Thomas, Justin",298,39,35,45,0.0035,110,28
"Walker, Jimmy",295,29,96,25,0.0096,65,19
"Watson, Bubba",297,37,641,5,0.0641,12,4
"Weir, Mike",154,73,1,77,1e-04,2000,81
"Westwood, Lee",286,2,18,68,0.0018,160,38
"Wiesberger, Bernd",296,34,34,47,0.0034,200,46
"Willett, Danny",283,1,114,21,0.0114,50,15
"Wood, Chris",299,41,25,61,0.0025,250,59
