"name","score","rank","modranks","prob","vegasodds","vegasranks"
"An, Byeong Hun",151,56,39,0.0042,160,38
"Aphibarnrat, Kiradech",291,15,44,0.0032,300,64
"Berger, Daniel",289,10,35,0.0061,200,46
"Bradley, Keegan",301,51,59,0.0022,200,46
"Cabrera Bello, Rafa",292,17,23,0.0095,90,26
"Cabrera, Angel",294,24,65,0.0018,150,36
"Casey, Paul",287,4,12,0.0238,65,19
"Day, Jason",289,10,1,0.1935,6.5,1
"DeChambeau, Bryson",293,21,70,0.0013,150,36
"Donaldson, Jamie",293,21,36,0.0055,200,46
"Dubuisson, Victor",299,41,74,6e-04,200,46
"Dufner, Jason",153,66,37,0.0052,110,28
"Els, Ernie",153,66,71,0.0012,225,58
"English, Harris",299,41,68,0.0016,130,32
"Fitzpatrick, Matthew",288,7,53,0.0024,250,59
"Fowler, Rickie",153,66,6,0.0596,15,6
"Garcia, Sergio",296,34,19,0.0119,50,15
"Gomez, Fabian",157,76,53,0.0024,500,71
"Grace, Branden",152,61,17,0.0152,85,24
"Grillo, Emiliano",292,17,39,0.0042,200,46
"Haas, Bill",294,24,32,0.0074,110,28
"Herman, Jim",153,66,51,0.0026,300,64
"Hoffman, Charley",295,29,22,0.0103,100,27
"Holmes, J.B.",287,4,24,0.0094,130,32
"Horschel, Billy",292,17,29,0.0079,160,38
"Immelman, Trevor",151,56,76,2e-04,1000,77
"Jaidee, Thongchai",307,55,62,0.002,300,64
"Johnson, Dustin",287,4,5,0.0655,15,6
"Johnson, Zach",152,61,28,0.0082,50,15
"Kaufman, Smylie",295,29,56,0.0023,250,59
"Kaymer, Martin",300,48,39,0.0042,160,38
"Kirk, Chris",153,66,31,0.0076,160,38
"Kisner, Kevin",297,37,33,0.0073,85,24
"Kjeldsen, Soren",288,7,46,0.003,500,71
"Knox, Russell",152,61,42,0.0037,200,46
"Koepka, Brooks",293,21,21,0.0107,65,19
"Kuchar, Matt",294,24,13,0.016,65,19
"Lahiri, Anirban",299,41,64,0.0019,250,59
"Langer, Bernhard",294,24,75,5e-04,500,71
"Lee, Danny",292,17,53,0.0024,160,38
"Leishman, Marc",151,56,29,0.0079,65,19
"Lingmerth, David",152,61,49,0.0029,200,46
"Love III, Davis",299,41,73,8e-04,500,71
"Lowry, Shane",298,39,34,0.0063,160,38
"Mahan, Hunter",302,52,52,0.0025,200,46
"Matsuyama, Hideki",288,7,11,0.0291,45,13
"McDowell, Graeme",153,66,59,0.0022,200,46
"McIlroy, Rory",289,10,3,0.0889,8,2
"Merritt, Troy",299,41,69,0.0014,300,64
"Mickelson, Phil",151,56,9,0.0391,15,6
"Moore, Ryan",155,74,20,0.011,110,28
"Na, Kevin",303,53,27,0.0087,130,32
"Oosthuizen, Louis",291,15,15,0.0156,28,11
"Piercy, Scott",295,29,44,0.0032,250,59
"Poulter, Ian",300,48,43,0.0035,130,32
"Reed, Patrick",300,48,16,0.0154,45,13
"Rose, Justin",289,10,8,0.0515,25,9
"Schwartzel, Charl",152,61,18,0.0145,35,12
"Scott, Adam",299,41,7,0.0586,12,4
"Simpson, Webb",295,29,38,0.0049,200,46
"Singh, Vijay",153,66,66,0.0017,500,71
"Smith, Cameron",303,53,72,0.001,300,64
"Snedeker, Brandt",289,10,14,0.0157,50,15
"Spieth, Jordan",286,2,2,0.1461,8.5,3
"Stenson, Henrik",294,24,10,0.0355,25,9
"Streb, Robert",156,75,62,0.002,300,64
"Streelman, Kevin",296,34,56,0.0023,200,46
"Sullivan, Andy",157,76,46,0.003,160,38
"Taylor, Vaughn",151,56,56,0.0023,300,64
"Thomas, Justin",298,39,46,0.003,110,28
"Walker, Jimmy",295,29,26,0.009,65,19
"Watson, Bubba",297,37,4,0.0662,12,4
"Westwood, Lee",286,2,66,0.0017,160,38
"Wiesberger, Bernd",296,34,50,0.0028,200,46
"Willett, Danny",283,1,25,0.0091,50,15
"Wood, Chris",299,41,61,0.0021,250,59
