"name","score","rank"
"An, Byeong Hun",151,56
"Aphibarnrat, Kiradech",291,15
"Berger, Daniel",289,10
"Bowditch, Steven",161,79
"Bradley, Keegan",301,51
"Cabrera Bello, Rafa",292,17
"Cabrera, Angel",294,24
"Casey, Paul",287,4
"Clarke, Darren",160,78
"Day, Jason",289,10
"DeChambeau, Bryson",293,21
"Donaldson, Jamie",293,21
"Dubuisson, Victor",299,41
"Dufner, Jason",153,66
"Els, Ernie",153,66
"English, Harris",299,41
"Fitzpatrick, Matthew",288,7
"Fowler, Rickie",153,66
"Garcia, Sergio",296,34
"Gomez, Fabian",157,76
"Grace, Branden",152,61
"Grillo, Emiliano",292,17
"Haas, Bill",294,24
"Herman, Jim",153,66
"Hoffman, Charley",295,29
"Holmes, J.B.",287,4
"Horschel, Billy",292,17
"Immelman, Trevor",151,56
"Jaidee, Thongchai",307,55
"Johnson, Dustin",287,4
"Johnson, Zach",152,61
"Kaufman, Smylie",295,29
"Kaymer, Martin",300,48
"Kirk, Chris",153,66
"Kisner, Kevin",297,37
"Kjeldsen, Soren",288,7
"Knox, Russell",152,61
"Koepka, Brooks",293,21
"Kuchar, Matt",294,24
"Lahiri, Anirban",299,41
"Langer, Bernhard",294,24
"Lee, Danny",292,17
"Leishman, Marc",151,56
"Lingmerth, David",152,61
"Love III, Davis",299,41
"Lowry, Shane",298,39
"Mahan, Hunter",302,52
"Matsuyama, Hideki",288,7
"McDowell, Graeme",153,66
"McIlroy, Rory",289,10
"Merritt, Troy",299,41
"Mickelson, Phil",151,56
"Moore, Ryan",155,74
"Na, Kevin",303,53
"Oosthuizen, Louis",291,15
"Piercy, Scott",295,29
"Poulter, Ian",300,48
"Reed, Patrick",300,48
"Rose, Justin",289,10
"Schwartzel, Charl",152,61
"Scott, Adam",299,41
"Simpson, Webb",295,29
"Singh, Vijay",153,66
"Smith, Cameron",303,53
"Snedeker, Brandt",289,10
"Spieth, Jordan",286,2
"Stenson, Henrik",294,24
"Streb, Robert",156,75
"Streelman, Kevin",296,34
"Sullivan, Andy",157,76
"Taylor, Vaughn",151,56
"Thomas, Justin",298,39
"Walker, Jimmy",295,29
"Watson, Bubba",297,37
"Weir, Mike",154,73
"Westwood, Lee",286,2
"Wiesberger, Bernd",296,34
"Willett, Danny",283,1
"Wood, Chris",299,41
