"","name","score","rank"
"1","Bae, Sangmoon",288,32
"2","Blixt, Jonas",287,27
"3","Bradley, Keegan",286,22
"4","Cabrera, Angel",286,22
"5","Casey, Paul",279,6
"6","Clarke, Darren",294,51
"7","Compton, Erik",293,50
"8","Day, Jason",287,27
"9","Donaldson, Jamie",288,32
"10","Dufner, Jason",292,48
"11","Els, Ernie",286,22
"12","Fowler, Rickie",282,12
"13","Garcia, Sergio",283,17
"14","Haas, Bill",282,12
"15","Henley, Russell",285,21
"16","Hoffman, Charley",280,9
"17","Hoffmann, Morgan",287,27
"18","Jaidee, Thongchai",297,54
"19","Johnson, Dustin",279,6
"20","Johnson, Zach",280,9
"21","Kirk, Chris",288,32
"22","Koepka, Brooks",288,32
"23","Kuchar, Matt",290,45
"24","Lahiri, Anirban",292,48
"25","Mahan, Hunter",280,9
"26","Matsuyama, Hideki",277,5
"27","McDowell, Graeme",294,51
"28","McIlroy, Rory",276,4
"29","Mickelson, Phil",274,2
"30","Moore, Ryan",282,12
"31","Na, Kevin",282,12
"32","Noh, Seung-Yul",289,37
"33","Ogilvy, Geoff",291,47
"34","Oosthuizen, Louis",284,19
"35","Palmer, Ryan",288,32
"36","Poulter, Ian",279,6
"37","Reed, Patrick",286,22
"38","Rose, Justin",274,2
"39","Schwartzel, Charl",289,37
"40","Scott, Adam",289,37
"41","Senden, John",289,37
"42","Simpson, Webb",287,27
"43","Singh, Vijay",295,53
"44","Spieth, Jordan",270,1
"45","Stenson, Henrik",284,19
"46","Streelman, Kevin",282,12
"47","Stricker, Steve",287,27
"48","Tringale, Cameron",289,37
"49","Walker, Jimmy",289,37
"50","Watson, Bubba",289,37
"51","Westwood, Lee",290,45
"52","Wiesberger, Bernd",286,22
"53","Willett, Danny",289,37
"54","Woods, Tiger",283,17
"55","Bjorn, Thomas",151,74
"56","Couples, Fred",153,80
"57","Crane, Ben",157,83
"58","Donald, Luke",147,55
"59","Dubuisson, Victor",149,72
"60","Every, Matt",147,55
"61","Furyk, Jim",147,55
"62","Gallacher, Stephen",147,55
"63","Grace, Branden",148,66
"64","Hahn, James",147,55
"65","Harman, Brian",148,66
"66","Harrington, Padraig",149,72
"67","Holmes, J.B.",147,55
"68","Horschel, Billy",148,66
"69","Ilonen, Mikko",147,55
"70","Immelman, Trevor",153,80
"71","Jimenez, Miguel Angel",151,74
"72","Kaymer, Martin",151,74
"73","Langer, Bernhard",147,55
"74","Lowry, Shane",147,55
"75","Luiten, Joost",148,66
"76","Martin, Ben",148,66
"77","Snedeker, Brandt",147,55
"78","Stadler, Kevin",151,74
"79","Streb, Robert",156,82
"80","Todd, Brendon",151,74
"81","Villegas, Camilo",148,66
"82","Watson, Tom",152,79
"83","Weir, Mike",163,85
"84","Woodland, Gary",147,55
"85","Yang, Gunn",159,84
