"topar","shots","name"
"-7","65","Hoffman, Charley"
"-3","69","McGirt, William"
"-2","70","Westwood, Lee"
"-1","71","Chappell, Kevin"
"-1","71","Dufner, Jason"
"-1","71","Fitzpatrick, Matthew"
"-1","71","Garcia, Sergio"
"-1","71","Mickelson, Phil"
"-1","71","Henley, Russell"
"-1","71","Rose, Justin"
"-1","71","Sullivan, Andy"
"E","72","Casey, Paul"
"E","72","Els, Ernie"
"E","72","Kjeldsen, Soren"
"E","72","Kuchar, Matt"
"E","72","Lowry, Shane"
"E","72","McIlroy, Rory"
"E","72","Pieters, Thomas"
"+1","73","Couples, Fred"
"+1","73","Fowler, Rickie"
"+1","73","Leishman, Marc"
"+1","73","Piercy, Scott"
"+1","73","Rahm, Jon"
"+1","73","Thomas, Justin"
"+1","73","Willett, Danny"
"+2","74","Day, Jason"
"+2","74","Hagestad, Stewart"
"+2","74","Ikeda, Yuta"
"+2","74","Kisner, Kevin"
"+2","74","Koepka, Brooks"
"+2","74","Mize, Larry"
"+2","74","Moore, Ryan"
"+2","74","Noren, Alex"
"+2","74","Pampling, Rod"
"+2","74","Perez, Pat"
"+2","74","Schwartzel, Charl"
"+2","74","Steele, Brendan"
"+2","74","Summerhays, Daniel"
"+2","76","Watson, Bubba"
"+2","74","Wood, Chris"
"+3","75","Cabrera-Bello, Rafael"
"+3","75","Haas, Bill"
"+3","75","Hadwin, Adam"
"+3","75","Hahn, James"
"+3","75","Hurley III, Billy"
"+3","75","Kim, Si Woo"
"+3","75","Langer, Bernhard"
"+3","75","Scott, Adam"
"+3","75","Simpson, Webb"
"+3","75","Snedeker, Brandt"
"+3","75","Spieth, Jordan"
"+3","75","Stricker, Steve"
"+3","75","Woodland, Gary"
"+4","76","An, Byeong Hun"
"+4","76","Fisher, Ross"
"+4","76","Grace, Branden"
"+4","76","Knox, Russell"
"+4","76","Matsuyama, Hideki"
"+4","76","Na, Kevin"
"+4","76","O'Hair, Sean"
"+4","76","Reed, Patrick"
"+4","76","Tanihara, Hideto"
"+4","76","Walker, Jimmy"
"+4","76","Weir, Mike"
"+4","76","Woosnam, Ian"
"+5","77","Berger, Daniel"
"+5","77","Johnson, Zach"
"+5","77","Lyle, Sandy"
"+5","77","Maria Olazaba, Jose"
"+5","77","Oosthuizen, Louis"
"+5","77","Stenson, Henrik"
"+5","77","Stuard, Brian"
"+5","77","Swafford, Hudson"
"+5","77","Wiesberger, Bernd"
"+6","78","Dalke, Brad"
"+6","78","Fleetwood, Tommy"
"+6","78","Furyk, Jim"
"+6","78","Holmes, J.B."
"+6","78","Kaymer, Martin"
"+6","78","Luck, Curtis"
"+6","78","Molinari, Francesco"
"+6","78","O'Meara, Mark"
"+6","78","Singh, Vijay"
"+6","78","Vegas, Jhonattan"
"+6","78","Wang, Jeunghun"
"+7","79","Cabrera, Angel"
"+7","79","Castro, Roberto"
"+7","79","Grillo, Emiliano"
"+7","79","Hughes, Mackenzie"
"+7","79","Immelman, Trevor"
"+8","80","Hatton, Tyrrell"
"+9","81","Gana, Toto"
"+10","82","Gregory, Scott"
