"","Firstname","LastName","Against","For"
"1","Jason","Day",13,2
"2","Rory","McIlroy",8,1
"3","Jordan","Spieth",17,2
"4","Adam","Scott",12,1
"5","Bubba","Watson",12,1
"6","Dustin","Johnson",15,1
"7","Phil","Mickelson",15,1
"8","Rickie","Fowler",15,1
"9","Henrik","Stenson",25,1
"10","Justin","Rose",25,1
"11","Louis","Oosthuizen",28,1
"12","Charl","Schwartzel",35,1
"13","Hideki","Matsuyama",45,1
"14","Patrick","Reed",45,1
"15","Brandt","Snedeker",50,1
"16","Danny","Willett",50,1
"17","Sergio","Garcia",50,1
"18","Zach","Johnson",50,1
"19","Brooks","Koepka",65,1
"20","Jimmy","Walker",65,1
"21","Marc","Leishman",65,1
"22","Matt","Kuchar",65,1
"23","Paul","Casey",65,1
"24","Branden","Grace",85,1
"25","Kevin","Kisner",85,1
"26","Rafael","Cabrera-Bello",90,1
"27","Charley","Hoffman",100,1
"28","Bill","Haas",110,1
"29","Jason","Dufner",110,1
"30","Justin","Thomas",110,1
"31","Ryan","Moore",110,1
"32","Harris","English",130,1
"33","Ian","Poulter",130,1
"34","JB","Holmes",130,1
"35","Kevin","Na",130,1
"36","Angel","Cabrera",150,1
"37","Bryson","DeChambeau",150,1
"38","Andy","Sullivan",160,1
"39","Billy","Horschel",160,1
"40","ByeongHun","An",160,1
"41","Chris","Kirk",160,1
"42","Danny","Lee",160,1
"43","Lee","Westwood",160,1
"44","Martin","Kaymer",160,1
"45","Shane","Lowry",160,1
"46","Bernd","Wiesberger",200,1
"47","Daniel","Berger",200,1
"48","David","Lingmerth",200,1
"49","Emiliano","Grillo",200,1
"50","Graeme","McDowell",200,1
"51","Hunter","Mahan",200,1
"52","Jamie","Donaldson",200,1
"53","Keegan","Bradley",200,1
"54","Kevin","Streelman",200,1
"55","Russell","Knox",200,1
"56","Victor","Dubuisson",200,1
"57","Webb","Simpson",200,1
"58","Ernie","Els",225,1
"59","Anirban","Lahiri",250,1
"60","Chris","Wood",250,1
"61","Matthew","Fitzpatrick",250,1
"62","Scott","Piercy",250,1
"63","Smylie","Kaufman",250,1
"64","Cameron","Smith",300,1
"65","Jim","Herman",300,1
"66","Kiradech","Aphibarnrat",300,1
"67","Robert","Streb",300,1
"68","Thongchai","Jaidee",300,1
"69","Troy","Merritt",300,1
"70","Vaughn","Taylor",300,1
"71","Bernhard","Langer",500,1
"72","Davis","LoveIII",500,1
"73","Fabian","Gomez",500,1
"74","Soren","Kjeldsen",500,1
"75","Steven","Bowditch",500,1
"76","Vijay","Singh",500,1
"77","Darren","Clarke",1000,1
"78","Jin","Cheng",1000,1
"79","Trevor","Immelman",1000,1
"80","Sammy","Schmitz",1750,1
"81","Derek","Bard",2000,1
"82","Mike","Weir",2000,1
"83","Romain","Langasque",2000,1
"84","Mark","OMeara",2500,1
"85","Paul","Chaplet",2500,1
"86","Tom","Watson",2500,1
"87","Ian","Woosnam",5000,1
"88","Sandy","Lyle",5000,1
"89","Larry","Mize",9000,1
